"partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","7108","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Turkey","South Africa","710812","kg",1404.19,"g",1404190,56815787,"w",2017-03-01,39580.72677
"Canada","South Africa","7108","kg",406.387,"g",406387,15087774.802,"w",2017-04-01,40689.92592
"China","South Africa","7108","kg",10091.687,NA,NA,394030217,"b",2017-04-01,40689.92592
"Czechia","South Africa","7108",NA,NA,NA,NA,2140,"w",2017-04-01,40689.92592
"Canada","South Africa","7108","kg",406.387,"g",406387,15087774.802,"w",2017-04-01,40689.92592
"Canada","South Africa","710812","kg",406.387,"g",406387,15087774.802,"w",2017-04-01,40689.92592
"China","South Africa","710812","kg",5108.035,NA,NA,201216606,"b",2017-04-01,40689.92592
"Czechia","South Africa","710812",NA,NA,NA,NA,2140,"w",2017-04-01,40689.92592
"Canada","South Africa","710812","kg",406.387,"g",406387,15087774.802,"w",2017-04-01,40689.92592
"China","South Africa","710813","kg",4983.652,NA,NA,192813611,"b",2017-04-01,40689.92592
"Germany","South Africa","7108","kg",10,"g",10000,253148.584,"w",2017-04-01,40689.92592
"China, Hong Kong SAR","South Africa","7108","kg",13,"kg",13,509206.19,"b",2017-04-01,40689.92592
"Germany","South Africa","7108","kg",10,"g",10000,253148.584,"w",2017-04-01,40689.92592
"China, Hong Kong SAR","South Africa","7108","kg",13,"kg",13,509206.19,"b",2017-04-01,40689.92592
"Germany","South Africa","7108","kg",10,"g",10000,253148.584,"w",2017-04-01,40689.92592
"Germany","South Africa","7108","kg",10,"g",10000,253148.584,"w",2017-04-01,40689.92592
"Germany","South Africa","710812","kg",10,"g",10000,253148.584,"w",2017-04-01,40689.92592
